,frame,detection_index,detection_class,detection_confidence,x1,y1,x2,y2
0,383,0,car,0.9993855953216553,1066,433,1280,714
1,384,0,car,0.9989883303642273,1064,422,1280,717
2,385,0,car,0.9991434812545776,1060,420,1280,720
3,386,0,car,0.9994945526123047,1054,422,1280,720
4,387,0,car,0.9995377063751221,1050,419,1280,720
5,388,0,car,0.9991405010223389,1046,421,1280,719
6,389,0,car,0.9991933703422546,1048,421,1277,715
7,390,0,car,0.9994534850120544,1044,421,1277,711
8,391,0,car,0.9988774657249451,1040,420,1278,708
9,392,0,car,0.9991459846496582,1036,422,1276,707
10,393,0,car,0.9984695315361023,1031,425,1276,708
11,394,0,car,0.9963439106941223,1027,423,1275,712
12,395,0,car,0.9970044493675232,1028,423,1272,711
13,396,0,car,0.9983057975769043,1023,424,1275,712
14,397,0,car,0.9987701773643494,1020,421,1276,713
15,398,0,car,0.9980917572975159,1020,419,1275,715
16,399,0,car,0.9984728693962097,999,408,1273,716
17,400,0,car,0.9982176423072815,1000,408,1276,715
18,401,0,car,0.9985712766647339,996,406,1278,720
19,402,0,car,0.9985431432723999,992,405,1278,720
20,403,0,car,0.9978097081184387,991,401,1280,720
21,404,0,car,0.997169554233551,989,398,1280,720
22,405,0,car,0.99750155210495,1001,371,1280,720
23,406,0,car,0.9972966313362122,974,397,1277,720
24,407,0,car,0.9971867203712463,972,393,1276,720
25,408,0,car,0.9971352815628052,967,390,1272,720
26,409,0,car,0.9974378347396851,970,365,1275,720
27,410,0,car,0.9980095028877258,951,392,1280,720
28,411,0,car,0.9980944991111755,947,392,1280,720
29,412,0,car,0.9988020658493042,944,391,1279,720
30,413,0,car,0.9988659620285034,947,389,1279,720
31,414,0,car,0.999245285987854,940,374,1275,720
32,415,0,car,0.9996881484985352,937,372,1277,718
33,416,0,car,0.9997479319572449,930,375,1278,712
34,417,0,car,0.9997068047523499,922,375,1279,710
35,418,0,car,0.999454915523529,918,380,1280,698
36,419,0,car,0.9995254278182983,907,372,1280,706
37,420,0,car,0.9993274211883545,899,367,1280,715
38,421,0,car,0.9987564086914062,894,363,1280,720
39,422,0,car,0.998113751411438,888,362,1262,720
40,423,0,car,0.9992685914039612,878,361,1270,720
41,424,0,car,0.9995896220207214,862,359,1280,720
42,425,0,car,0.9995132684707642,851,358,1280,720
43,426,0,car,0.9996733665466309,841,358,1280,720
44,427,0,car,0.9995906949043274,831,358,1280,720
45,428,0,car,0.9995427131652832,822,358,1280,720
46,429,0,car,0.9996019005775452,805,356,1280,720
47,430,0,car,0.9993376135826111,792,355,1280,720
48,431,0,car,0.9986104965209961,767,359,1280,720
49,432,0,car,0.9974799752235413,761,362,1280,718
50,433,0,car,0.9989826083183289,754,364,1280,718
51,434,0,car,0.9981902241706848,733,369,1280,710
52,435,0,car,0.9980297684669495,725,366,1272,707
53,436,0,car,0.9979596138000488,721,368,1261,696
54,437,0,car,0.9979227185249329,694,370,1245,683
55,438,0,car,0.9984496831893921,686,372,1235,672
56,439,0,car,0.9989880919456482,679,371,1218,664
57,440,0,car,0.9994801878929138,667,367,1197,664
58,441,0,car,0.9992221593856812,658,371,1188,660
59,442,0,car,0.9988477230072021,640,373,1187,657
60,443,0,car,0.9954171180725098,628,370,1181,652
61,444,0,car,0.9814120531082153,611,371,1127,649
62,445,0,car,0.9899733066558838,599,372,1114,648
63,446,0,car,0.972743570804596,591,369,1087,644
64,447,0,car,0.872653067111969,580,338,1064,630
65,448,0,car,0.8795194029808044,577,335,1031,639
66,449,0,car,0.9996799230575562,552,374,994,635
67,450,0,car,0.9992523789405823,531,373,988,637
68,451,0,car,0.9996360540390015,527,377,960,635
69,452,0,car,0.9993833303451538,525,377,933,639
70,453,0,car,0.9992002844810486,507,377,911,638
71,454,0,car,0.9998459815979004,501,384,892,630
72,455,0,car,0.9984049201011658,472,380,889,634
73,456,0,car,0.9984046816825867,485,382,860,624
74,457,0,car,0.9994490742683411,477,383,854,623
75,458,0,car,0.9991372227668762,471,376,840,611
76,459,0,car,0.9984447360038757,463,379,830,608
77,460,0,car,0.9964098334312439,451,383,819,605
78,461,0,car,0.9981516003608704,448,389,820,617
79,462,0,car,0.9972565770149231,447,389,813,618
80,463,0,car,0.9975162744522095,436,378,800,610
81,464,0,car,0.9994046688079834,429,379,798,611
82,465,0,car,0.9995982050895691,432,388,797,618
83,466,0,car,0.9998679161071777,426,387,783,621
84,467,0,car,0.999813973903656,420,388,779,625
85,468,0,car,0.9998049139976501,409,387,782,626
86,469,0,car,0.9997082352638245,405,390,785,623
87,470,0,car,0.9948569536209106,408,383,760,625
88,471,0,car,0.9904770851135254,406,385,758,622
89,472,0,car,0.9988402724266052,407,379,744,609
90,473,0,car,0.9997592568397522,393,377,741,612
91,474,0,car,0.9999344348907471,396,377,739,608
92,475,0,car,0.9998992681503296,392,378,734,606
93,476,0,car,0.9999620914459229,387,380,730,604
94,477,0,car,0.9998931884765625,385,379,729,602
95,478,0,car,0.999775230884552,382,378,726,599
96,479,0,car,0.9991148114204407,384,377,722,596
97,480,0,car,0.9997257590293884,383,376,719,596
98,481,0,car,0.9996854066848755,378,375,717,595
99,482,0,car,0.9991543292999268,377,376,718,592
100,483,0,car,0.999203622341156,377,375,717,591
101,484,0,car,0.9984543323516846,378,374,713,588
102,485,0,car,0.9977849125862122,385,372,709,580
103,486,0,car,0.9972199201583862,385,369,710,577
104,487,0,car,0.9982705116271973,385,365,711,568
105,488,0,car,0.999178946018219,388,362,711,566
106,489,0,car,0.9996999502182007,390,359,708,559
107,490,0,car,0.9997437596321106,393,357,715,554
108,491,0,car,0.9998295307159424,393,353,721,552
109,492,0,car,0.9996551275253296,402,352,725,547
110,493,0,car,0.9998090863227844,421,351,734,547
111,494,0,car,0.9995015859603882,428,340,731,538
112,495,0,car,0.9997974038124084,430,341,764,530
113,496,0,car,0.9999270439147949,431,341,770,527
114,497,0,car,0.9998964071273804,441,338,774,515
115,498,0,car,0.9998295307159424,458,330,776,510
116,499,0,car,0.9995044469833374,471,330,777,509
117,500,0,car,0.999743640422821,476,321,791,496
118,501,0,car,0.9998843669891357,488,315,798,486
119,502,0,car,0.9998701810836792,506,315,799,484
120,503,0,car,0.9995121955871582,528,311,807,480
121,504,0,car,0.9984911680221558,545,307,814,477
122,505,0,car,0.9998018145561218,545,303,857,460
123,506,0,car,0.9998838901519775,570,301,861,453
124,507,0,car,0.9997038245201111,585,286,870,444
125,508,0,car,0.999834418296814,607,279,879,439
126,509,0,car,0.9997139573097229,618,282,896,439
127,510,0,car,0.9998593330383301,634,286,901,448
128,511,0,car,0.9996147155761719,653,304,905,452
129,512,0,car,0.9998800754547119,657,307,942,455
130,513,0,car,0.9997521042823792,668,308,960,455
131,514,0,car,0.999607503414154,690,311,965,451
132,515,0,car,0.9998143315315247,708,310,982,452
133,516,0,car,0.9998134970664978,731,312,988,451
134,517,0,car,0.9997146725654602,744,314,993,450
135,518,0,car,0.9993708729743958,751,314,1033,451
136,519,0,car,0.9990426898002625,767,314,1039,452
137,520,0,car,0.9993274211883545,783,318,1054,449
138,521,0,car,0.9988033771514893,811,322,1076,461
139,522,0,car,0.9995483756065369,836,322,1082,446
140,523,0,car,0.9989598989486694,849,324,1098,458
141,524,0,car,0.9991698265075684,861,326,1133,462
142,525,0,car,0.9986624717712402,878,326,1140,466
143,526,0,car,0.9992550015449524,904,326,1163,463
144,527,0,car,0.9991165995597839,919,327,1178,465
145,528,0,car,0.9993891716003418,941,329,1191,462
146,529,0,car,0.9989084005355835,947,334,1205,460
147,530,0,car,0.9991866946220398,964,336,1235,463
148,531,0,car,0.9981237053871155,980,339,1257,460
149,532,0,car,0.999346911907196,1001,336,1267,464
150,533,0,car,0.9996460676193237,1013,335,1275,466
151,534,0,car,0.9992761015892029,1035,335,1273,465
152,535,0,car,0.9995545744895935,1065,329,1279,475
153,542,0,car,0.9926967024803162,0,341,219,680
154,543,0,car,0.998910665512085,0,313,250,662
155,544,0,car,0.9976813793182373,0,320,284,656
156,545,0,car,0.9915988445281982,0,341,313,685
157,546,0,car,0.9967915415763855,0,334,345,720
158,547,0,car,0.9987174272537231,0,331,364,720
159,548,0,car,0.9973570704460144,11,325,396,703
160,549,0,truck,0.9989898800849915,4,319,411,701
161,550,0,car,0.9988799691200256,1,326,446,691
162,551,0,car,0.9980100989341736,0,324,470,688
163,552,0,car,0.9974076151847839,2,321,495,656
164,553,0,car,0.9975927472114563,2,322,521,653
165,554,0,car,0.9970805048942566,0,324,536,651
166,555,0,car,0.9983924031257629,7,323,550,649
167,556,0,car,0.9982470273971558,0,330,578,643
168,557,0,car,0.9981054067611694,0,333,606,639
169,558,0,car,0.9996203184127808,1,337,616,636
170,559,0,car,0.9992409944534302,4,338,637,634
171,560,0,car,0.9995362758636475,0,338,655,636
172,561,0,car,0.9984909296035767,1,337,665,634
173,562,0,car,0.9982652068138123,9,338,680,632
174,563,0,car,0.9983943104743958,24,340,683,627
175,564,0,car,0.999312162399292,55,341,697,624
176,565,0,car,0.999279797077179,79,339,691,625
177,566,0,car,0.9987686276435852,6,345,214,458
178,566,1,car,0.9987621307373047,78,347,736,623
179,567,0,car,0.9992629885673523,102,349,747,618
180,567,1,car,0.9981181621551514,5,347,225,458
181,568,0,car,0.9991809725761414,118,351,763,611
182,568,1,car,0.9970046877861023,1,349,235,457
183,569,0,car,0.9994593262672424,146,351,761,614
184,569,1,car,0.9979780316352844,7,348,242,455
185,570,0,car,0.9997561573982239,164,354,768,615
186,570,1,car,0.9943122863769531,15,350,253,459
187,571,0,car,0.999729335308075,168,357,772,612
188,571,1,car,0.9881191849708557,18,353,261,458
189,572,0,car,0.9998045563697815,178,358,771,613
190,572,1,car,0.9865381717681885,10,353,266,453
191,573,0,car,0.9998090863227844,180,359,775,608
192,573,1,car,0.9930261373519897,0,348,290,462
193,574,0,car,0.9997820258140564,180,361,776,607
194,574,1,car,0.9894161820411682,0,348,293,462
195,575,0,car,0.9997530579566956,184,359,774,609
196,575,1,car,0.984662652015686,45,355,275,455
197,576,0,car,0.9995335340499878,183,357,778,606
198,576,1,car,0.978840708732605,51,355,278,456
199,577,0,car,0.9994617104530334,180,358,781,608
200,577,1,car,0.9777596592903137,51,354,280,454
201,578,0,car,0.9994204044342041,180,358,782,606
202,578,1,car,0.9767819046974182,51,355,280,453
203,579,0,car,0.9994248151779175,180,357,783,606
204,579,1,car,0.965840756893158,47,355,282,454
205,580,0,car,0.9994775652885437,181,357,781,606
206,580,1,car,0.9650088548660278,47,355,282,454
207,581,0,car,0.9995494484901428,182,357,781,606
208,581,1,car,0.9678126573562622,47,355,281,453
209,582,0,car,0.9995744824409485,182,357,782,606
210,582,1,car,0.9613611698150635,0,353,302,465
211,583,0,car,0.9996188879013062,181,357,783,607
212,583,1,car,0.9709532856941223,49,355,282,453
213,584,0,car,0.9996340274810791,181,356,782,607
214,584,1,car,0.9709761738777161,47,355,282,453
215,585,0,car,0.9996769428253174,181,357,782,607
216,585,1,car,0.9699383974075317,47,355,282,453
217,586,0,car,0.9996259212493896,180,357,783,606
218,586,1,car,0.9689087867736816,47,355,282,454
219,587,0,car,0.9996509552001953,182,357,782,606
220,587,1,car,0.9680575728416443,46,355,282,453
221,588,0,car,0.99955815076828,183,358,780,608
222,588,1,car,0.9799536466598511,51,355,280,453
223,589,0,car,0.9996323585510254,182,359,780,606
224,589,1,car,0.9810815453529358,50,355,281,452
225,590,0,car,0.9995928406715393,181,358,781,608
226,590,1,car,0.9806745648384094,50,355,281,453
227,591,0,car,0.9995980858802795,182,358,781,609
228,591,1,car,0.9825960397720337,51,355,281,453
229,592,0,car,0.9995703101158142,181,358,783,609
230,592,1,car,0.9839327335357666,52,355,281,454
231,593,0,car,0.9995909333229065,180,359,782,608
232,593,1,car,0.9833336472511292,51,355,282,454
233,594,0,car,0.9996077418327332,181,358,782,608
234,594,1,car,0.9852728247642517,52,355,282,453
235,595,0,car,0.999591052532196,181,358,782,608
236,595,1,car,0.9846559762954712,54,355,282,454
237,596,0,car,0.9996165037155151,180,358,782,608
238,596,1,car,0.9820170998573303,53,355,281,455
239,597,0,car,0.9996194839477539,175,356,787,611
240,597,1,car,0.9780386090278625,50,356,282,455
241,598,0,car,0.9997400641441345,176,358,788,613
242,598,1,car,0.9830824136734009,51,356,280,459
243,599,0,car,0.9997438788414001,178,359,786,611
244,599,1,car,0.9763715267181396,46,356,280,459
245,600,0,car,0.9996802806854248,177,357,782,613
246,600,1,car,0.9778937101364136,0,357,297,468
247,601,0,car,0.9997425675392151,176,357,783,612
248,601,1,car,0.9802651405334473,40,355,278,460
249,602,0,car,0.9997939467430115,180,357,781,614
250,602,1,car,0.9828271865844727,39,355,278,460
251,603,0,car,0.9997523427009583,179,357,784,615
252,603,1,car,0.9854629039764404,40,355,277,461
253,604,0,car,0.9998337030410767,177,357,785,616
254,604,1,car,0.9854388236999512,38,355,276,462
255,605,0,car,0.9998236298561096,179,357,784,618
256,605,1,car,0.9878621101379395,0,354,296,466
257,606,0,car,0.9998314380645752,177,354,786,621
258,606,1,car,0.9895591735839844,0,354,296,466
