,frame,detection_index,detection_class,detection_confidence,x1,y1,x2,y2
0,247,0,oven,0.8679971098899841,1097,462,1280,717
1,248,0,oven,0.8445101380348206,1099,461,1278,718
2,249,0,oven,0.7053587436676025,1107,471,1275,712
3,250,0,oven,0.8181224465370178,1076,457,1269,720
4,251,0,oven,0.9477919340133667,1063,430,1279,718
5,252,0,oven,0.877004086971283,1055,427,1280,720
6,253,0,oven,0.9166601300239563,1050,455,1272,720
7,253,1,refrigerator,0.5450900197029114,854,277,1046,689
8,254,0,oven,0.968034565448761,1035,449,1269,720
9,255,0,oven,0.9899551868438721,1023,453,1270,720
10,256,0,oven,0.9763750433921814,1020,434,1268,706
11,257,0,oven,0.9865273833274841,1022,433,1262,709
12,257,1,refrigerator,0.5216803550720215,830,271,1014,701
13,258,0,oven,0.951530933380127,1018,433,1261,704
14,258,1,refrigerator,0.6904008984565735,827,278,1009,693
15,259,0,oven,0.9261478185653687,1003,435,1238,703
16,259,1,refrigerator,0.6016749143600464,824,287,1003,687
17,260,0,oven,0.9148815274238586,993,437,1221,698
18,260,1,refrigerator,0.6456695199012756,818,302,998,675
19,261,0,oven,0.9673857092857361,985,435,1214,704
20,261,1,refrigerator,0.8331713080406189,814,297,991,679
21,262,0,bottle,0.6597440242767334,1184,374,1210,433
22,262,1,oven,0.9337959885597229,985,444,1205,693
23,262,2,refrigerator,0.9099268317222595,810,307,992,667
24,263,0,oven,0.7431575059890747,985,458,1201,682
25,263,1,refrigerator,0.9509125351905823,810,308,987,664
26,264,0,oven,0.5844369530677795,992,463,1193,678
27,264,1,refrigerator,0.9031957983970642,807,313,987,662
28,265,0,oven,0.7636827230453491,973,442,1171,691
29,265,1,refrigerator,0.6826584935188293,808,306,979,665
30,266,0,refrigerator,0.7622380256652832,802,310,987,662
31,267,0,refrigerator,0.6641637682914734,803,310,984,665
32,268,0,oven,0.659737765789032,966,449,1152,685
33,268,1,refrigerator,0.688309907913208,790,299,960,664
34,269,0,oven,0.5884658694267273,963,454,1147,680
35,269,1,refrigerator,0.8220251202583313,786,308,959,661
36,270,0,oven,0.5804471969604492,965,457,1143,677
37,270,1,refrigerator,0.854514479637146,787,311,959,655
38,271,0,oven,0.7418656349182129,968,451,1139,682
39,271,1,refrigerator,0.787613034248352,784,310,958,656
40,272,0,oven,0.7120721340179443,965,435,1132,655
41,272,1,refrigerator,0.8762363195419312,782,313,953,648
42,273,0,oven,0.5970234274864197,965,442,1122,650
43,273,1,refrigerator,0.879991352558136,783,316,948,646
44,274,0,oven,0.5803333520889282,964,459,1123,674
45,274,1,refrigerator,0.8994759321212769,778,313,949,653
46,275,0,oven,0.557232677936554,946,440,1099,650
47,275,1,refrigerator,0.9265186190605164,776,312,946,652
48,276,0,oven,0.6997236609458923,939,444,1095,644
49,276,1,refrigerator,0.859088659286499,776,313,941,656
50,277,0,refrigerator,0.7309736609458923,776,317,939,652
51,278,0,refrigerator,0.7497460842132568,775,320,937,652
52,279,0,refrigerator,0.6386734843254089,773,324,935,647
53,280,0,oven,0.6878719925880432,934,475,1088,659
54,281,0,oven,0.7245064377784729,934,476,1087,658
55,282,0,oven,0.6398682594299316,932,480,1086,656
56,283,0,oven,0.5354834794998169,928,479,1082,658
57,294,0,refrigerator,0.5931460857391357,761,324,894,639
58,331,0,refrigerator,0.6021275520324707,4,437,149,699
59,333,0,refrigerator,0.7728559374809265,0,460,235,717
60,334,0,refrigerator,0.6790854930877686,0,459,227,718
61,369,0,car,0.7297697067260742,1175,471,1272,719
62,370,0,car,0.8414995074272156,1164,467,1271,720
63,371,0,car,0.7665708661079407,1152,466,1271,720
64,372,0,car,0.851768434047699,1147,513,1272,720
65,373,0,car,0.9231868982315063,1138,511,1271,720
66,374,0,car,0.8281159400939941,1128,515,1273,720
67,375,0,car,0.9511223435401917,1122,474,1277,720
68,376,0,car,0.8542951941490173,1119,460,1279,720
69,376,1,pottedplant,0.5552932620048523,2,465,110,713
70,377,0,car,0.9509222507476807,1115,458,1276,720
71,377,1,pottedplant,0.5710675716400146,0,444,121,695
72,378,0,car,0.9897632598876953,1103,464,1276,720
73,378,1,pottedplant,0.6538453102111816,0,443,123,694
74,379,0,car,0.9847180247306824,1102,463,1275,720
75,379,1,pottedplant,0.5130078196525574,0,434,122,702
76,380,0,car,0.9944491386413574,1098,466,1275,716
77,380,1,pottedplant,0.5704283118247986,2,418,125,716
78,381,0,car,0.9952163696289062,1095,462,1276,717
79,381,1,pottedplant,0.5333230495452881,0,384,140,697
80,382,0,car,0.9975866079330444,1072,423,1280,719
81,382,1,pottedplant,0.5425700545310974,0,377,141,702
82,383,0,car,0.9993855953216553,1066,433,1280,714
83,384,0,car,0.9989883303642273,1064,422,1280,717
84,385,0,car,0.9991434812545776,1060,420,1280,720
85,386,0,car,0.9994945526123047,1054,422,1280,720
86,387,0,car,0.9995377063751221,1050,419,1280,720
87,388,0,car,0.9991405010223389,1046,421,1280,719
88,389,0,car,0.9991933703422546,1048,421,1277,715
89,389,1,pottedplant,0.693458080291748,0,402,159,677
90,390,0,car,0.9994534850120544,1044,421,1277,711
91,390,1,pottedplant,0.7835281491279602,2,413,162,669
92,391,0,car,0.9988774657249451,1040,420,1278,708
93,391,1,pottedplant,0.7967618703842163,3,407,167,672
94,392,0,car,0.9991459846496582,1036,422,1276,707
95,392,1,pottedplant,0.6199331283569336,3,410,169,668
96,393,0,car,0.9984695315361023,1031,425,1276,708
97,393,1,pottedplant,0.7614030838012695,4,413,170,664
98,394,0,car,0.9963439106941223,1027,423,1275,712
99,394,1,pottedplant,0.7233698964118958,5,410,171,666
100,395,0,car,0.9970044493675232,1028,423,1272,711
101,395,1,pottedplant,0.6172802448272705,2,360,176,664
102,396,0,car,0.9983057975769043,1023,424,1275,712
103,396,1,pottedplant,0.6926109790802002,0,364,180,662
104,397,0,car,0.9987701773643494,1020,421,1276,713
105,397,1,pottedplant,0.630885899066925,0,374,181,653
106,398,0,car,0.9980917572975159,1020,419,1275,715
107,399,0,car,0.9984728693962097,999,408,1273,716
108,400,0,car,0.9982176423072815,1000,408,1276,715
109,401,0,car,0.9985712766647339,996,406,1278,720
110,402,0,car,0.9985431432723999,992,405,1278,720
111,403,0,car,0.9978097081184387,991,401,1280,720
112,404,0,car,0.997169554233551,989,398,1280,720
113,405,0,car,0.99750155210495,1001,371,1280,720
114,406,0,car,0.9972966313362122,974,397,1277,720
115,407,0,car,0.9971867203712463,972,393,1276,720
116,408,0,car,0.9971352815628052,967,390,1272,720
117,409,0,car,0.9974378347396851,970,365,1275,720
118,410,0,car,0.9980095028877258,951,392,1280,720
119,411,0,car,0.9980944991111755,947,392,1280,720
120,412,0,car,0.9988020658493042,944,391,1279,720
121,413,0,car,0.9988659620285034,947,389,1279,720
122,414,0,car,0.999245285987854,940,374,1275,720
123,415,0,car,0.9996881484985352,937,372,1277,718
124,416,0,car,0.9997479319572449,930,375,1278,712
125,417,0,car,0.9997068047523499,922,375,1279,710
126,418,0,car,0.999454915523529,918,380,1280,698
127,419,0,car,0.9995254278182983,907,372,1280,706
128,420,0,car,0.9993274211883545,899,367,1280,715
129,421,0,car,0.9987564086914062,894,363,1280,720
130,422,0,car,0.998113751411438,888,362,1262,720
131,423,0,car,0.9992685914039612,878,361,1270,720
132,424,0,car,0.9995896220207214,862,359,1280,720
133,425,0,car,0.9995132684707642,851,358,1280,720
134,426,0,car,0.9996733665466309,841,358,1280,720
135,427,0,car,0.9995906949043274,831,358,1280,720
136,428,0,car,0.9995427131652832,822,358,1280,720
137,429,0,car,0.9996019005775452,805,356,1280,720
138,430,0,car,0.9993376135826111,792,355,1280,720
139,430,1,pottedplant,0.5314181447029114,0,340,127,570
140,431,0,car,0.9986104965209961,767,359,1280,720
141,431,1,pottedplant,0.5047791600227356,0,295,121,562
142,432,0,car,0.9974799752235413,761,362,1280,718
143,433,0,car,0.9989826083183289,754,364,1280,718
144,434,0,car,0.9981902241706848,733,369,1280,710
145,435,0,car,0.9980297684669495,725,366,1272,707
146,436,0,car,0.9979596138000488,721,368,1261,696
147,437,0,car,0.9979227185249329,694,370,1245,683
148,438,0,car,0.9984496831893921,686,372,1235,672
149,439,0,car,0.9989880919456482,679,371,1218,664
150,440,0,car,0.9994801878929138,667,367,1197,664
151,441,0,car,0.9992221593856812,658,371,1188,660
152,442,0,car,0.9988477230072021,640,373,1187,657
153,443,0,car,0.9954171180725098,628,370,1181,652
154,444,0,car,0.9814120531082153,611,371,1127,649
155,445,0,car,0.9899733066558838,599,372,1114,648
156,446,0,car,0.972743570804596,591,369,1087,644
157,447,0,car,0.872653067111969,580,338,1064,630
158,448,0,car,0.8795194029808044,577,335,1031,639
159,449,0,car,0.9996799230575562,552,374,994,635
160,450,0,car,0.9992523789405823,531,373,988,637
161,451,0,car,0.9996360540390015,527,377,960,635
162,452,0,car,0.9993833303451538,525,377,933,639
163,453,0,car,0.9992002844810486,507,377,911,638
164,454,0,car,0.9998459815979004,501,384,892,630
165,455,0,car,0.9984049201011658,472,380,889,634
166,456,0,car,0.9984046816825867,485,382,860,624
167,456,1,truck,0.7617002129554749,482,372,908,615
168,457,0,car,0.9994490742683411,477,383,854,623
169,458,0,car,0.9991372227668762,471,376,840,611
170,459,0,car,0.9984447360038757,463,379,830,608
171,460,0,car,0.9964098334312439,451,383,819,605
172,461,0,car,0.9981516003608704,448,389,820,617
173,462,0,car,0.9972565770149231,447,389,813,618
174,463,0,car,0.9975162744522095,436,378,800,610
175,464,0,car,0.9994046688079834,429,379,798,611
176,465,0,car,0.9995982050895691,432,388,797,618
177,466,0,car,0.9998679161071777,426,387,783,621
178,467,0,car,0.999813973903656,420,388,779,625
179,467,1,truck,0.9240373373031616,380,387,786,645
180,468,0,car,0.9998049139976501,409,387,782,626
181,469,0,car,0.9997082352638245,405,390,785,623
182,470,0,car,0.9948569536209106,408,383,760,625
183,470,1,truck,0.7602310180664062,380,381,775,645
184,471,0,car,0.9904770851135254,406,385,758,622
185,472,0,car,0.9988402724266052,407,379,744,609
186,473,0,car,0.9997592568397522,393,377,741,612
187,474,0,car,0.9999344348907471,396,377,739,608
188,475,0,car,0.9998992681503296,392,378,734,606
189,476,0,car,0.9999620914459229,387,380,730,604
190,477,0,car,0.9998931884765625,385,379,729,602
191,478,0,car,0.999775230884552,382,378,726,599
192,479,0,car,0.9991148114204407,384,377,722,596
193,480,0,car,0.9997257590293884,383,376,719,596
194,481,0,car,0.9996854066848755,378,375,717,595
195,482,0,car,0.9991543292999268,377,376,718,592
196,483,0,car,0.999203622341156,377,375,717,591
197,484,0,car,0.9984543323516846,378,374,713,588
198,485,0,car,0.9977849125862122,385,372,709,580
199,486,0,car,0.9972199201583862,385,369,710,577
200,487,0,car,0.9982705116271973,385,365,711,568
201,488,0,car,0.999178946018219,388,362,711,566
202,489,0,car,0.9996999502182007,390,359,708,559
203,490,0,car,0.9997437596321106,393,357,715,554
204,491,0,car,0.9998295307159424,393,353,721,552
205,492,0,car,0.9996551275253296,402,352,725,547
206,493,0,car,0.9998090863227844,421,351,734,547
207,494,0,car,0.9995015859603882,428,340,731,538
208,495,0,car,0.9997974038124084,430,341,764,530
209,496,0,car,0.9999270439147949,431,341,770,527
210,497,0,car,0.9998964071273804,441,338,774,515
211,498,0,car,0.9998295307159424,458,330,776,510
212,499,0,car,0.9995044469833374,471,330,777,509
213,500,0,car,0.999743640422821,476,321,791,496
214,501,0,car,0.9998843669891357,488,315,798,486
215,502,0,car,0.9998701810836792,506,315,799,484
216,503,0,car,0.9995121955871582,528,311,807,480
217,504,0,car,0.9984911680221558,545,307,814,477
218,505,0,car,0.9998018145561218,545,303,857,460
219,506,0,car,0.9998838901519775,570,301,861,453
220,507,0,car,0.9997038245201111,585,286,870,444
221,508,0,car,0.999834418296814,607,279,879,439
222,508,1,pottedplant,0.5528557300567627,6,272,171,419
223,509,0,car,0.9997139573097229,618,282,896,439
224,510,0,car,0.9998593330383301,634,286,901,448
225,511,0,car,0.9996147155761719,653,304,905,452
226,512,0,car,0.9998800754547119,657,307,942,455
227,512,1,pottedplant,0.6143420338630676,107,302,266,443
228,513,0,car,0.9997521042823792,668,308,960,455
229,514,0,car,0.999607503414154,690,311,965,451
230,515,0,car,0.9998143315315247,708,310,982,452
231,516,0,car,0.9998134970664978,731,312,988,451
232,517,0,car,0.9997146725654602,744,314,993,450
233,518,0,car,0.9993708729743958,751,314,1033,451
234,519,0,car,0.9990426898002625,767,314,1039,452
235,520,0,car,0.9993274211883545,783,318,1054,449
236,521,0,car,0.9988033771514893,811,322,1076,461
237,522,0,car,0.9995483756065369,836,322,1082,446
238,523,0,car,0.9989598989486694,849,324,1098,458
239,524,0,car,0.9991698265075684,861,326,1133,462
